,Unnamed: 0,TweetId,UserId,UserUsername,Date,Location,Tweet,Media,Likes,Retweets,Comments,Polarity,Sentiment
0,0,1740538311603896716,1659894730346442752,wuyan91,2023-12-29 01:00:45+00:00,,接下 接下来 下来 有利 利好 长期 干活 躺平 鱼水 鱼水情 水情 长期 以是 永久 利好 不用 问出 需要 尽责 得有 子弹 没有 子弹 装好 刺刀 不会 演员 纠缠 谦虚 会升 升高 自夸 将要 跌落 bank,"Media(photos=[], videos=[], animated=[])",3,0,0,0.3,Positive
1,1,1740397722409337336,1525447809436045312,jiucai777,2023-12-28 15:42:06+00:00,,brcbank 买 买 一起 买马 马上 别墅 大海 卖 卖 一起 卖 一起 送 外卖,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
2,2,1739964268899160418,1525447809436045312,jiucai777,2023-12-27 10:59:43+00:00,,brcbank 牛 逼,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCWYModacAABSeQ.jpg')], videos=[], animated=[])",0,0,0,0.0,Neutral
3,3,1739818442637873517,1733705173955158016,Pepito_567,2023-12-27 01:20:15+00:00,,整理 一下 钱包 包里 铭文 目前 主要 持仓 铭文 很多 不一 一一 一列 列出 列出来 铭文 告诉 跟着 买 万 U,"Media(photos=[], videos=[], animated=[])",1,0,1,1.0,Positive
4,4,1739367965026324944,43948487,NAI500,2023-12-25 19:30:13+00:00,Vancouver,转向 前景 令人 令人兴奋 兴奋 忽略 滞后 滞后效应 后效 效应 Wells Fargo amp Company WFC 详情 详情请,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCN58mCWsAAwzFa.jpg')], videos=[], animated=[])",0,0,0,0.0,Neutral
5,5,1739288089053536277,1368073109035773955,bangzhu_bz,2023-12-25 14:12:49+00:00,新加坡,第一 第一个 币 安 brc bank 两张 图 懂 买买 买买 bank,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCMwLVza4AAkyBP.png')], videos=[], animated=[])",20,8,19,0.0,Neutral
6,6,1739283914965787046,1452505528106569729,xiaoshunli,2023-12-25 13:56:14+00:00,,一下 其实 Bank 已经 币 安 明牌 官方 奶 听懂 掌声 鼓励,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCMtfxpWMAAfSmr.jpg')], videos=[], animated=[])",46,13,37,1.0,Positive
7,7,1739288019788853312,1525447809436045312,jiucai777,2023-12-25 14:12:32+00:00,,币 安 brc 亲儿子 儿子 bank,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCMxJLkbQAABhPC.jpg')], videos=[], animated=[])",2,0,1,0.0,Neutral
8,8,1739279290045465068,1372028271483711490,BTC_AI_Hongmeng,2023-12-25 13:37:51+00:00,Web3,听 几个 资源 V 币 安 接下 接下来 下来 铭文 bank 目前 悬念 建仓,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCMpO7CbwAAsZoT.jpg')], videos=[], animated=[])",0,0,1,0.0,Neutral
9,9,1739110678953386286,1494206615867650049,cz_bian,2023-12-25 02:27:51+00:00,,追 热点 排行 观察 买 币 其实 抬轿 抬轿子 轿子 月份 买入 Sats 现在 已经 离场 买 铭文 三个 标准 名字 必须 有意 意义 单词 不可 以是 字母 胡乱 拼凑 市值 没有 老鼠 仓 生来 自带 金融 属性,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCKP7oja8AAbLGP.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GCKP8fRaQAA4p6G.jpg')], videos=[], animated=[])",6,2,3,0.14,Positive
10,10,1738712892898414856,1525447809436045312,jiucai777,2023-12-24 00:07:12+00:00,,提 币 gate 提走 消灭 万恶 交易 交易所 芝麻 关门,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCEmJ7ObYAA_cjI.jpg')], videos=[], animated=[])",0,0,1,-1.0,Negative
11,11,1738573205999427897,1720074914311573504,JD3vbfM3Fa61073,2023-12-23 14:52:08+00:00,,呼吁 社区 共同 团结 团结起来 结起 结起来 起来 发起 提 币 运动 共同 抵制 无良 交易 交易所 数据 砸 盘 高额 提笔 费,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCCnC1EbUAA06Hx.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GCCnC1EbsAA-Fpy.jpg')], videos=[], animated=[])",1,0,0,0.2,Positive
12,12,1738386326087467362,1494206615867650049,cz_bian,2023-12-23 02:29:32+00:00,,bankbrc brc ordi 以外 第二 第二批 二批 铭文 目前 市值 低 社区 共识 强 筹码 足够 公平 没有 老鼠 仓 没有 项目 方 下面 图片 几点 购买 bankbrc 理由,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GB_9E37WsAEimnH.jpg')], videos=[], animated=[])",4,2,6,0.13,Positive
13,13,1739957343478243614,60954595,bengmugenr,2023-12-27 10:32:12+00:00,土澳,剛 剛 見 一群 野 豬 拖 家 帶 口 四散 逃,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCWRKuNboAEgNYH.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GCWRKuSaQAABoGd.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GCWRKuQaEAAW_6Y.jpg')], videos=[], animated=[])",0,0,0,-1.0,Negative
14,14,1738326107068231847,43948487,NAI500,2023-12-22 22:30:15+00:00,Vancouver,策略 策略师 警告 美国 美国股市 股市 回调 建议 逢 低买 买入 Citigroup Inc C 深入 深入分析 分析,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GB_GYfsXoAAzlgA.jpg')], videos=[], animated=[])",0,0,0,0.33,Positive
