,Unnamed: 0,TweetId,UserId,UserUsername,Date,Location,Tweet,Media,Likes,Retweets,Comments,Polarity,Sentiment
0,0,1741405439596634286,130884716,schousda,2023-12-31 10:26:25+00:00,,absolut nichtssag meldung bring seit zwei tag skonto ausfuhr grund angegeb,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCq28u-XsAAukez.jpg')], videos=[], animated=[])",0,0,0,0.7,Positive
1,1,1741325973306429604,780737569139007488,PerZukunft,2023-12-31 05:10:38+00:00,"Berlin, Germany",kaufmann fachkraft vollzeit,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
2,2,1740963602943664167,780737569139007488,PerZukunft,2023-12-30 05:10:43+00:00,"Berlin, Germany",sachkontenbuchhalt gutschrift,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
3,3,1740801543903891953,16026917,BERLINER_KURIER,2023-12-29 18:26:45+00:00,"Berlin, Germany",pann demnach kund bestimmt sparkass betroff,"Media(photos=[], videos=[], animated=[])",3,0,0,0.0,Neutral
4,4,1740721383707992290,14674814,boerseonline,2023-12-29 13:08:13+00:00,München,frankfurt konkurrentin uberholt zumind gemess wichtig kriteri commerzbank bess deutsch akti,"Media(photos=[], videos=[], animated=[])",0,0,0,0.7,Positive
5,5,1740638922852782511,1497874608141258760,JanetYaxley7,2023-12-29 07:40:33+00:00,,kurz geles mehr betroff einzeln supermarkt schuld geschob statt,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
6,6,1740400265830801492,727894999,VRBankMKB,2023-12-28 15:52:13+00:00,Büdingen,bewerb 𝗡𝗮𝗰𝗵𝗵𝗮𝗹𝘁𝗶𝗴𝗸𝗲𝗶𝘁𝘀𝗺𝗮𝗻𝗮𝗴𝗲𝗿 gestalt nachhalt zukunft bewerb,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCckoR9XgAAArh8.jpg')], videos=[], animated=[])",0,0,0,0.0,Neutral
7,7,1740357715988504963,1101700656958791681,ThePageOneAsia,2023-12-28 13:03:08+00:00,"Bengaluru, India",approv idfcidfc first bank merg,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
8,8,1740300375788552635,151510370,wellpresso,2023-12-28 09:15:17+00:00,Impressum:,mehr zufried zahl mach wechsl evtl,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
9,9,1739940451837166012,862658604804997126,FMA_AT,2023-12-27 09:25:04+00:00,"Wien, Österreich",jahr schwerpunkt wesent bereich bankenaufsicht gesetzt link find schwerpunkt kommend jahr,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCWCnpEXwAA1nUd.jpg')], videos=[], animated=[])",1,0,0,-0.7,Negative
