,Unnamed: 0,TweetId,UserId,UserUsername,Date,Location,Tweet,Media,Likes,Retweets,Comments,Sentiment,Polarity
0,0,1741158988098801908,1096414481960194048,JkLatestUpdates,2023-12-30 18:07:06+00:00,Jammu and Kashmir ,gtgt jampk bank ecalend year,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCnW2L4boAAMpYX.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GCnW3HRbEAAfhSo.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
2,2,1740186619175723125,757044393299808256,centrumnews2021,2023-12-28 01:43:15+00:00,,crisis bancari golpe prestam pequeñ especial banc rural segun wall street leccion inform clar client prest econom crucial estabil financ,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCZigSWWUAABx3Y.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
3,3,1740012784631632238,1532108502,ItalBank,2023-12-27 14:12:30+00:00,Puerto Rico,record moment usted pued revis cuent movimient bancari traves portal italbank compromet serv,"Media(photos=[], videos=[], animated=[])",0,0,0,Neutral,0
4,4,1739493424707801094,814214455802200065,TipsterBmarkez1,2023-12-26 03:48:45+00:00,,moment hac,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCPsDFBWoAAsKNp.jpg')], videos=[], animated=[])",0,1,0,Neutral,0
5,5,1737865577044013368,1532108502,ItalBank,2023-12-21 16:00:16+00:00,Puerto Rico,mejor tas dolar eur empiec ahor acced link,"Media(photos=[], videos=[], animated=[])",0,0,0,Neutral,0
7,7,1737222773909626972,1731127300740317184,DrTreJuan,2023-12-19 21:25:59+00:00,Los Angeles Monica,tac frijol arroz afuer commun usand diner unid,"Media(photos=[], videos=[], animated=[])",0,0,1,Neutral,0
8,8,1736804032977809721,1405299840284774401,Yoliztlioficial,2023-12-18 17:42:04+00:00,,conoc cas cambi sociedad autoriz shcp clav pod realiz oper divis transmision fond vent document moned extranjer,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1736799468475785216/pu/img/hjTpxAcFd6P8AbKO.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=950000, url='https://video.twimg.com/ext_tw_video/1736799468475785216/pu/vid/avc1/480x852/vQ2ty0OU7buyb74Z.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1736799468475785216/pu/vid/avc1/720x1280/4of_bhvBdTOFM6uI.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=632000, url='https://video.twimg.com/ext_tw_video/1736799468475785216/pu/vid/avc1/320x568/dVLj8Gf0LQ73uqH0.mp4?tag=12')], duration=26426, views=None)], animated=[])",1,0,0,Neutral,0
9,9,1735914987426615424,1217512856066891776,DiablaSrs,2023-12-16 06:49:19+00:00,,desinstal volv instal banc razon olvid teni target debit venc hac mes ahor pued hac ningun movimient,"Media(photos=[], videos=[], animated=[])",1,0,0,Negative,-1
10,10,1735755878161146369,1162536046967611392,fps_hub,2023-12-15 20:17:04+00:00,,prim nivel secret,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBakxelXUAAwzy5.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
11,11,1734969901347897530,1533810131921666050,MujeresSwfl,2023-12-13 16:13:53+00:00,,solucion necesit fifth third bank banc pod confi contact corre judithsevacom,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBPZ7jCXUAAhiig.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
12,12,1734920002069835967,2854680832,montse_barcelo,2023-12-13 12:55:36+00:00,Barcelona - Boston,inspir amazing join executiv sector congratulations encontr expert aqu,"Media(photos=[], videos=[], animated=[])",7,1,0,Positive,1
13,13,1734692433579896914,821902249,Nus17_BCN,2023-12-12 21:51:19+00:00,"Barcelona, España",reunion anual direct organiz cit anual inspir man mabel julian vilert graci compart jorn,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBLdkk2W0AAPZpA.jpg')], videos=[], animated=[])",6,0,1,Neutral,0
14,14,1734573822785839421,4724990491,YGConsultores,2023-12-12 14:00:00+00:00,"Av. Río Churubusco 60, CDMX ",comunic motiv emple bancari diciembr suspend activ inhabil retom oper normal diciembr agradec comprension,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBIT_x7WQAATWu5.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
15,15,1734249327273406704,185758302,RiskMathicsFI,2023-12-11 16:30:35+00:00,"México, D.F.",mantent inform ultim tendenci finanz trading tecnolog,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBFKkOxXcAIJvD1.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GBFKkkhXcAEE2TJ.png')], videos=[], animated=[])",1,0,0,Neutral,0
16,16,1734135488087539802,138294486,rpkampuchea,2023-12-11 08:58:13+00:00,"Caracas, Venezuela",continu fug deposit banc pais seman pas retir millon sistem grand banc millon pequeñ orden millon,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBDi8MlW0AAXCbl.jpg')], videos=[], animated=[])",0,1,0,Neutral,0
17,17,1733819008745422934,936235920,esMktDigital,2023-12-10 12:00:39+00:00,Barcelona,tendenci desarroll altern,"Media(photos=[], videos=[], animated=[])",1,0,1,Neutral,0
18,18,1733476338776887613,1532108502,ItalBank,2023-12-09 13:19:00+00:00,Puerto Rico,aprovech oportun usted client invit contact ejecut cuent acced siguient link mejor tas dolar eur,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAgb02JWcAATJkT.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
19,19,1732890084280619495,955839862006988800,StrendusOficial,2023-12-07 22:29:26+00:00,México,mejor podr vers mejor rapid jueg respons,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAx2WTqWoAExvYY.jpg')], videos=[], animated=[])",2,0,0,Neutral,0
