,commenterID,UserName,Date,Text,Polarity,Sentiment
2461,UCerb-b2iGy_LYBne9osL5zA,@claus-m.m.-hertenstein8555,2020-03-31 15:02:19+00:00,merci gerald,0.0,Neutral
2460,UCaZC2f8wamBsixVGaRXPrSw,@bent.3336,2020-03-31 15:07:20+00:00,neu tief april meinung,0.0,Neutral
2459,UCEWyHZFMWCr8-x4A66QcLTQ,@matthiasriehl,2020-03-31 15:08:51+00:00,passiert einlag bank geld schuldet verrechnet,0.0,Neutral
2458,UC2TXCK-q6kSudIHJmvk1u-w,@RALPHGRAF,2020-03-31 15:14:04+00:00,bank abgeschaltet werdenich wort crash nichtdann brauch mehrda modus angesagt,0.0,Neutral
2457,UCUStZx0jzrsNnhgyGyvoDeQ,@highend77,2020-03-31 15:20:14+00:00,hoffent gibt heut trotzd marchenstund sup content gerald dank,0.0,Neutral
2456,UClyuH7hh6xOqsNGS0ubC61A,@paysic,2020-03-31 15:20:20+00:00,glaub wirklich gibt gesetz jahr kundigungsschutz miet miet zahlt zahl,1.0,Positive
2455,UCBC2UKY-Tkh_V3dW7jQyZ8A,@hendrik9527,2020-03-31 15:26:22+00:00,einlagensicher bank person,0.0,Neutral
2454,UCpf9ATehfMVhdKZZKdxVFBA,@fm1570,2020-03-31 15:26:53+00:00,bereit beim erst crash dummerweis tausend akti investiert solang plus verkauf nach crash,0.0,Neutral
2453,UC1Gbz0RFjwvOM4zYbKEnqpg,@thomaskoss7743,2020-03-31 15:29:10+00:00,hallo geraldbrbailout bank staat gerettet seit jahr gibt allerding bailin regel bank glaubig gerettet durf,0.0,Neutral
2452,UCLd35nl98xI7K3RsMdt8vpA,@konradhabermas4032,2020-03-31 15:40:21+00:00,nehm vermog haus auto gold sogar leb seel krieg,0.0,Neutral
2451,UCQZcI_OPppkj_eOyzL1_d4A,@haraldstein9130,2020-03-31 15:41:07+00:00,trinkwassersprit stallhas kartoffeln neu wahrung werdend schwarzmarkt geht deck,0.0,Neutral
2450,UCC6iIgQ1lDvjsmsbOBKnUdQ,@kampf-wuffi,2020-03-31 16:07:58+00:00,wert bankenkollaps sperr sowieso zahl erst hyperinflation geld entwertet,0.0,Neutral
2449,UCkt15-apMczbHZWRyjYfSVw,@profihandwerker4828,2020-03-31 16:13:11+00:00,gerald horhan wirtschaftsminist sitzt staatsmann einfach klass ruhig verstand gesproch,0.7,Positive
