,commenterID,UserName,Date,Text,Sentiment,Polarity
3437,UCASSaUqv16yD6KVyqOOGd7w,@napoleone6115,2015-12-03 16:19:53+00:00,almen prendet soddisf impicc,negative,-1
3436,UCrNEkvrpbuobuq5jAWO6ofw,@Io-wk5rg,2015-12-04 02:24:01+00:00,dispiac mess stess pan,negative,-1
3435,UCFxVMeuDPvJutSSKQP6T3Fw,@Chester1723,2015-12-04 11:39:19+00:00,ecco truff banc vergogn stat acconsentec dov pens altre banc pag deb invec person comun vergogn,negative,-1
3434,UCaeUq8VOFseEYp9mSJdBdzg,@corazzabruno7390,2016-01-09 14:01:27+00:00,banc assoc delinqu stamp mafios protezion polit can mang can dimission govern immed banc ital regist crac insiem consob sann nient,negative,-1
3433,UCE-t8Bs-7eaByfV3QEwC6xQ,@leonardolavalle146,2016-01-31 08:18:27+00:00,car amic toscan continu vot sinistr perc second guerr mondial cer fascist volt pagin,negative,-1
1904,UCH-dCSi8LemPVZICN0FRjkw,@AlbertoPiccininiAQ99,2016-02-28 16:42:12+00:00,qualsias idiot super cris quotid logorabranton cechov,negative,-1
1903,UCGdjJwse4PltBCvS_kZf1XA,@luigirossi1767,2016-04-02 23:24:40+00:00,graz prof spiegazion cris gener mond bancar finanziar dalleconom real,negative,-1
3432,UCZbnq5qG0zAAsnQUChQliWg,@marcovec4173,2016-05-24 01:57:45+00:00,quel vecchiett sembr content quas aver pers eur sorrid sempr,positive,1
1901,UC-L5EMqQwHJoEVtmRx3FdsQ,@progettoitaliano,2016-05-30 17:18:16+00:00,lezion illumin graz averl condivis,positive,1
1900,UC5EjXTVZVNqeuv5cdh_hHPg,@Dr.Sortospino,2016-07-02 17:39:03+00:00,miglior spes youtub,positive,1
1899,UC0nm5SyaXVepZ8JVndVnkzA,@eugeniaantonuzzo3003,2016-07-03 17:06:37+00:00,lezion molt interess apert occhi ancor,positive,1
1898,UCVm-haxCN7zk7iEk_7X8t5g,@mlccrl,2016-07-03 22:36:09+00:00,didatt buon prof dev dilung concett bas perc cors dev esser prim anno parl macroeconom dev spieg concett tecnic bancar apparteng altri cors ottim prepar universitar vuol cap,positive,1
3431,UCw7sFWxNDIX9IQz7ZOl78_w,@matteomercaldo6754,2016-07-13 19:37:45+00:00,piccol azion eur bott person divent rapin banc quas quas giustif occhi occhi dent dent,positive,1
1897,UC2aXPdqVnjxAhQfFMU_mM3A,@vannibalestra8276,2016-09-20 20:11:05+00:00,chiarezz unic,positive,1
1896,UCBvcyg6zJQ5VOXKGwkvoPbQ,@naonis100,2016-10-02 22:37:57+00:00,super prof graz,positive,1
1895,UC6EIipQwngAtJVZ5Du9XK5Q,@jijinho,2016-10-03 01:32:48+00:00,grand lezion,positive,1
1893,UCaUPkaFdhbfo2Aauk6bzrQA,@laurafiocco9003,2016-10-20 12:22:07+00:00,quand docent brav piac impar ascolt,positive,1
1891,UCPqFFoI6nQJQgXSIClF9smg,@matapoli4067,2016-10-31 16:00:33+00:00,quand lezion divent arte compl professor,positive,1
1890,UCsYfbu8Lz8WCpgjZFJtFmIA,@riccardomolteni1866,2016-11-02 14:29:16+00:00,lezion sinfon spettacol,positive,1
3430,UCUgicgmyQtFk_yaYjytt4Uw,@giuliamasotti4235,2016-11-22 11:10:43+00:00,giust matte brsa cos mond multinazional quadr contil sir,positive,1
