Week_Number,Sen_I,Sen_D,Sen_S,Close_I,Close_D,Close_S
Week_1,0,0,1,0,0,1
Week_2,0,0,1,0,0,1
Week_3,0,0,1,0,0,1
Week_4,0,0,1,0,0,1
Week_5,0,0,1,0,0,1
Week_6,0,0,1,0,0,1
Week_7,0,0,1,0,0,1
Week_8,0,0,1,0,0,1
Week_9,0,0,1,0,0,1
Week_10,0,0,1,0,0,1
Week_11,0,0,1,0,0,1
Week_12,0,0,1,0,0,1
Week_13,0,1,0,0,1,0
Week_14,0,1,0,0,1,0
Week_15,0,1,0,0,1,0
Week_16,0,1,0,0,1,0
Week_17,0,1,0,0,1,0
Week_18,0,1,0,0,1,0
Week_19,0,1,0,0,1,0
Week_20,0,1,0,0,1,0
Week_21,0,1,0,0,1,0
Week_22,0,1,0,0,1,0
Week_23,0,1,0,0,1,0
Week_24,0,1,0,0,1,0
Week_25,1,0,0,1,0,0
Week_26,1,0,0,1,0,0
Week_27,1,0,0,1,0,0
Week_28,1,0,0,1,0,0
Week_29,1,0,0,1,0,0
Week_30,1,0,0,1,0,0
Week_31,1,0,0,1,0,0
Week_32,1,0,0,1,0,0
Week_33,1,0,0,1,0,0
Week_34,1,0,0,1,0,0
Week_35,1,0,0,1,0,0
Week_36,1,0,0,1,0,0
Week_37,1,0,0,1,0,0
Week_38,1,0,0,1,0,0
Week_39,1,0,0,1,0,0
Week_40,1,0,0,1,0,0
Week_41,1,0,0,1,0,0
Week_42,1,0,0,1,0,0
Week_43,1,0,0,1,0,0
Week_44,1,0,0,1,0,0
Week_45,1,0,0,1,0,0
Week_46,1,0,0,1,0,0
Week_47,1,0,0,1,0,0
Week_48,1,0,0,1,0,0
Week_49,0,1,0,1,0,0
Week_50,0,1,0,1,0,0
Week_51,0,1,0,1,0,0
Week_52,0,1,0,1,0,0
Week_53,0,1,0,1,0,0
Week_54,0,1,0,1,0,0
Week_55,0,1,0,1,0,0
Week_56,0,1,0,1,0,0
Week_57,0,1,0,1,0,0
Week_58,0,1,0,1,0,0
Week_59,0,1,0,1,0,0
Week_60,0,1,0,1,0,0
Week_61,0,1,0,1,0,0
Week_62,0,1,0,1,0,0
Week_63,0,1,0,1,0,0
Week_64,0,1,0,1,0,0
Week_65,0,1,0,1,0,0
Week_66,0,1,0,1,0,0
Week_67,0,1,0,1,0,0
Week_68,0,1,0,1,0,0
Week_69,0,1,0,1,0,0
Week_70,0,1,0,1,0,0
Week_71,0,1,0,1,0,0
Week_72,0,1,0,1,0,0
Week_73,1,0,0,1,0,0
Week_74,1,0,0,1,0,0
Week_75,1,0,0,1,0,0
Week_76,1,0,0,1,0,0
Week_77,1,0,0,1,0,0
Week_78,1,0,0,1,0,0
Week_79,1,0,0,1,0,0
Week_80,1,0,0,1,0,0
Week_81,1,0,0,1,0,0
Week_82,1,0,0,1,0,0
Week_83,1,0,0,1,0,0
Week_84,1,0,0,1,0,0
Week_85,1,0,0,1,0,0
Week_86,1,0,0,1,0,0
Week_87,1,0,0,1,0,0
Week_88,1,0,0,1,0,0
Week_89,1,0,0,1,0,0
Week_90,1,0,0,1,0,0
Week_91,1,0,0,1,0,0
Week_92,1,0,0,1,0,0
Week_93,1,0,0,1,0,0
Week_94,1,0,0,1,0,0
Week_95,1,0,0,1,0,0
Week_96,1,0,0,1,0,0
Week_97,0,1,0,1,0,0
Week_98,0,1,0,1,0,0
Week_99,0,1,0,1,0,0
Week_100,0,1,0,1,0,0
Week_101,0,1,0,1,0,0
Week_102,0,1,0,1,0,0
Week_103,0,1,0,1,0,0
Week_104,0,1,0,1,0,0
Week_105,0,1,0,1,0,0
Week_106,0,1,0,1,0,0
Week_107,0,1,0,1,0,0
Week_108,0,1,0,1,0,0
Week_109,0,1,0,1,0,0
Week_110,0,1,0,1,0,0
Week_111,0,1,0,1,0,0
Week_112,0,1,0,1,0,0
Week_113,0,1,0,1,0,0
Week_114,0,1,0,1,0,0
Week_115,0,1,0,1,0,0
Week_116,0,1,0,1,0,0
Week_117,0,1,0,1,0,0
Week_118,0,1,0,1,0,0
Week_119,0,1,0,1,0,0
Week_120,0,1,0,1,0,0
Week_121,1,0,0,1,0,0
Week_122,1,0,0,1,0,0
Week_123,1,0,0,1,0,0
Week_124,1,0,0,1,0,0
Week_125,1,0,0,1,0,0
Week_126,1,0,0,1,0,0
Week_127,1,0,0,1,0,0
Week_128,1,0,0,1,0,0
Week_129,1,0,0,1,0,0
Week_130,1,0,0,1,0,0
Week_131,1,0,0,1,0,0
Week_132,1,0,0,1,0,0
Week_133,1,0,0,1,0,0
Week_134,1,0,0,1,0,0
Week_135,1,0,0,1,0,0
Week_136,1,0,0,1,0,0
Week_137,1,0,0,1,0,0
Week_138,1,0,0,1,0,0
Week_139,1,0,0,1,0,0
Week_140,1,0,0,1,0,0
Week_141,1,0,0,1,0,0
Week_142,1,0,0,1,0,0
Week_143,1,0,0,1,0,0
Week_144,1,0,0,1,0,0
Week_145,0,1,0,1,0,0
Week_146,0,1,0,1,0,0
Week_147,0,1,0,1,0,0
Week_148,0,1,0,1,0,0
Week_149,0,1,0,1,0,0
Week_150,0,1,0,1,0,0
Week_151,0,1,0,1,0,0
Week_152,0,1,0,1,0,0
Week_153,0,1,0,1,0,0
Week_154,0,1,0,1,0,0
Week_155,0,1,0,1,0,0
Week_156,0,1,0,1,0,0
Week_157,0,1,0,1,0,0
Week_158,0,1,0,1,0,0
Week_159,0,1,0,1,0,0
Week_160,0,1,0,1,0,0
Week_161,0,1,0,1,0,0
Week_162,0,1,0,1,0,0
Week_163,0,1,0,1,0,0
Week_164,0,1,0,1,0,0
Week_165,0,1,0,1,0,0
Week_166,0,1,0,1,0,0
Week_167,0,1,0,1,0,0
Week_168,0,1,0,1,0,0
Week_169,0,1,0,0,1,0
Week_170,0,1,0,0,1,0
Week_171,0,1,0,0,1,0
Week_172,0,1,0,0,1,0
Week_173,0,1,0,0,1,0
Week_174,0,1,0,0,1,0
Week_175,0,1,0,0,1,0
Week_176,0,1,0,0,1,0
Week_177,0,1,0,0,1,0
Week_178,0,1,0,0,1,0
Week_179,0,1,0,0,1,0
Week_180,0,1,0,0,1,0
Week_181,0,1,0,0,1,0
Week_182,0,1,0,0,1,0
Week_183,0,1,0,0,1,0
Week_184,0,1,0,0,1,0
Week_185,0,1,0,0,1,0
Week_186,0,1,0,0,1,0
Week_187,0,1,0,0,1,0
Week_188,0,1,0,0,1,0
Week_189,0,1,0,0,1,0
Week_190,0,1,0,0,1,0
Week_191,0,1,0,0,1,0
Week_192,0,1,0,0,1,0
Week_193,0,1,0,0,1,0
Week_194,0,1,0,0,1,0
Week_195,0,1,0,0,1,0
Week_196,0,1,0,0,1,0
Week_197,0,1,0,0,1,0
Week_198,0,1,0,0,1,0
Week_199,0,1,0,0,1,0
Week_200,0,1,0,0,1,0
Week_201,0,1,0,0,1,0
Week_202,0,1,0,0,1,0
Week_203,0,1,0,0,1,0
Week_204,0,1,0,0,1,0
Week_205,0,1,0,0,1,0
Week_206,0,1,0,0,1,0
Week_207,0,1,0,0,1,0
Week_208,0,1,0,0,1,0
Week_209,0,1,0,0,1,0
Week_210,0,1,0,0,1,0
Week_211,0,1,0,0,1,0
Week_212,0,1,0,0,1,0
Week_213,0,1,0,0,1,0
Week_214,0,1,0,0,1,0
Week_215,0,1,0,0,1,0
Week_216,0,1,0,0,1,0
Week_217,0,1,0,1,0,0
Week_218,0,1,0,1,0,0
Week_219,0,1,0,1,0,0
Week_220,0,1,0,1,0,0
Week_221,0,1,0,1,0,0
Week_222,0,1,0,1,0,0
Week_223,0,1,0,1,0,0
Week_224,0,1,0,1,0,0
Week_225,0,1,0,1,0,0
Week_226,0,1,0,1,0,0
Week_227,0,1,0,1,0,0
Week_228,0,1,0,1,0,0
Week_229,1,0,0,1,0,0
Week_230,1,0,0,1,0,0
Week_231,1,0,0,1,0,0
Week_232,1,0,0,1,0,0
Week_233,1,0,0,1,0,0
Week_234,1,0,0,1,0,0
Week_235,1,0,0,1,0,0
Week_236,1,0,0,1,0,0
Week_237,1,0,0,1,0,0
Week_238,1,0,0,1,0,0
Week_239,1,0,0,1,0,0
Week_240,1,0,0,1,0,0
Week_241,1,0,0,1,0,0
Week_242,1,0,0,1,0,0
Week_243,1,0,0,1,0,0
Week_244,1,0,0,1,0,0
Week_245,1,0,0,1,0,0
Week_246,1,0,0,1,0,0
Week_247,1,0,0,1,0,0
Week_248,1,0,0,1,0,0
Week_249,1,0,0,1,0,0
Week_250,1,0,0,1,0,0
Week_251,1,0,0,1,0,0
Week_252,1,0,0,1,0,0
Week_253,1,0,0,1,0,0
Week_254,1,0,0,1,0,0
Week_255,1,0,0,1,0,0
Week_256,1,0,0,1,0,0
Week_257,1,0,0,1,0,0
Week_258,1,0,0,1,0,0
Week_259,1,0,0,1,0,0
Week_260,1,0,0,1,0,0
Week_261,1,0,0,1,0,0
Week_262,1,0,0,1,0,0
Week_263,1,0,0,1,0,0
Week_264,1,0,0,1,0,0
Week_265,0,1,0,1,0,0
Week_266,0,1,0,1,0,0
Week_267,0,1,0,1,0,0
Week_268,0,1,0,1,0,0
Week_269,0,1,0,1,0,0
Week_270,0,1,0,1,0,0
Week_271,0,1,0,1,0,0
Week_272,0,1,0,1,0,0
Week_273,0,1,0,1,0,0
Week_274,0,1,0,1,0,0
Week_275,0,1,0,1,0,0
Week_276,0,1,0,1,0,0
Week_277,0,1,0,1,0,0
Week_278,0,1,0,1,0,0
Week_279,0,1,0,1,0,0
Week_280,0,1,0,1,0,0
Week_281,0,1,0,1,0,0
Week_282,0,1,0,1,0,0
Week_283,0,1,0,1,0,0
Week_284,0,1,0,1,0,0
Week_285,0,1,0,1,0,0
Week_286,0,1,0,1,0,0
Week_287,0,1,0,1,0,0
Week_288,0,1,0,1,0,0
Week_289,0,1,0,1,0,0
Week_290,0,1,0,1,0,0
Week_291,0,1,0,1,0,0
Week_292,0,1,0,1,0,0
Week_293,0,1,0,1,0,0
Week_294,0,1,0,1,0,0
Week_295,0,1,0,1,0,0
Week_296,0,1,0,1,0,0
Week_297,0,1,0,1,0,0
Week_298,0,1,0,1,0,0
