Week_Number,Sen_I_en,Sen_D_en,Sen_S_en,Sen_I_fr,Sen_D_fr,Sen_S_fr,Sen_I_cn,Sen_D_cn,Sen_S_cn,Sen_I_de,Sen_D_de,Sen_S_de,Sen_I_es,Sen_D_es,Sen_S_es,Sen_I_it,Sen_D_it,Sen_S_it,Close_I,Close_D,Close_S
Week_1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_4,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_7,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_8,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_9,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_11,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_12,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_14,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_15,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_16,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_17,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_18,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_19,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_20,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_21,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_22,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_23,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_24,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_25,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_26,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_27,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_28,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_29,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_30,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_31,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_32,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_33,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_34,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_35,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_36,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_37,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_38,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_39,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_40,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_41,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_42,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_43,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_44,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_45,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_46,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_47,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_48,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_49,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_50,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Week_51,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_52,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_53,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_54,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_55,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_56,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_57,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_58,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_59,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_60,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_61,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_62,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_63,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_64,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_65,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_66,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_67,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_68,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_69,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_70,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_71,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_72,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_73,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_74,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_75,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_76,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_77,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_78,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Week_79,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
