commenterID,UserName,Date,Text
UCUtUTpAbCtIKOalhAK-hxZA,@eingeSCHENKTtv,2023-09-14T17:39:03Z,"Wir haben eine neue Spenden-Kontonummer!<br>Kontoinhaber: <a href=""http://eingeschenkt.tv/"">eingeschenkt.tv</a><br>IBAN: DE35 8506 0000 1000 4343 88<br>Danke für Eure Hilfe und Unterstützung!"
UC3Z2pV3dr_JHE0n6qKy-Aug,@michaelvanallen6400,2024-01-31T15:18:31Z,"<b>Extrem erschreckend, wie viele blinde Anhänger Kralll trotz endlos vieler EXTREMEN FEHLPROGNOSEN hat! Die Realität: Statt &quot;auf 30% gestiegen&quot;, ist die Inflation im 2 Halbjahr 2023 auf rd. 4,5% GEFALLEN!</b>   Im Januar 2024 beträgt sie in Deutschland sogar nur noch 2,9%, nach 3,5% in Q4 2023.  <br>Damit hat Deutschland im EU-Vergleich mit die niedrigste Inflation aller 28 EU-Länder!<br>Krall prognostizierte vor 2 bis 14 Jahren den Zusammenbruch des Euro und Bankencrash. Zudem seit x- Jahren die &quot;Verzehnfachung&quot; oder &quot;10.000 €&quot; beim Goldpreis."
UCWRparNS81mFaoPBxaYXa6g,@claradelvalle6191,2024-01-14T18:35:19Z,Hervorragender Vortrag von einem der Hoffnungsträger für unser Land. 🙏🌄 Danke sehr!
UCcHW2AbA0nXxsq7A7laqDIA,@YYY-xi4jm,2023-12-26T21:59:13Z,Bitcoin
UCO11YQrCcXHroz6_Q_eWqqw,@Polyamorist1980,2023-12-10T01:47:31Z,"Der Vortrag ist sehr interessant, leider wurde nicht von der Geldschöpfung aus Luft gesprochen. Die Frage, die ich mir immer wieder stelle, ist: Wenn die ganze Welt mit 235 Billionen Euro verschuldet ist, wer hatte diese 235 Billionen vorher? Und wenn niemand sie vorher hatte, wieso konnten Banken diesen Betrag schöpfen und mit welchem Recht fordern sie diesen Betrag, der nie ihnen gehört hatte, zurück? Das Geld der Sparer kann es nicht gewesen sein, Sparer können, besser gesagt dürfen kein Geld drucken und auch nicht auf Konten gutschreiben.<br><br>Oh, und ein wichtiger Punkt fehlt noch in den Lösungen. Eine andere Geldordnung bzw. ein anderes Geldsystem, vorzugsweise eines, das nicht auf einem Nullsummenspiel basiert."
UC3Z2pV3dr_JHE0n6qKy-Aug,@michaelvanallen6400,2023-12-01T12:57:12Z,"<b>Niemand gab so eloquent so viele extreme Fehlprognosen ab! Kralls Kern-Prognosen traten AUSNAHMSLOS NICHT ein! Weder ging der Euro unter, noch explodierte der Goldpreis oder gingen massenhaft Unternehmen Banken wegen der Leitzinserhöhungen pleite. Alles jedoch Prognosen von Krall, die Krall über xx Jahre ständig wiederholte! Hier prognostiziert er für 2023 eine kommende 30% Inflation. Die Realität: Stark fallende Inflation auf aktuell nur 2,5% im EU-Raum!</b><br>Krall ist daher eher ein sicherer KONTRA-INDIKATOR, d.h. es wird das Gegenteil von dem passieren, was er prognostiziert."
UCcC5SWlh8FuuUKNRz2a3Xzg,@bernhardbrendel5238,2023-11-09T13:04:18Z,"Ich habe mir schon so ziemlich alles von Markus Krall angehört und angesehen, was sich im Internet oder Zeitungen so finden lässt und ich bin der Meinung, dass er nicht nur ein sehr guter Experte für Wirtschaft und Finanzen ist, sondern das, was er vermitteln möchte, auch dank seiner hervorragenden rhetorischen Fähigkeiten gut erklären kann, und das darüber hinaus auch noch mit einem Humor, der ihn zu einem prima Kabarettisten macht. 😂"
UCGUVbrABzX2Uc7HO5liyarg,@ktmrocky65,2023-11-01T14:30:25Z,Danke für die Visionen
UCoXtKeT4dYl04_0HS2rKnkw,@c7z06corvette4,2023-10-30T19:05:31Z,Dümmste Regierung aller Zeiten korrupteste Regierung aller Zeiten Ampelheinis sind Deutschland Hasser und dumm wie 3m Feldweg zudem Landesverrat wegen Amtseidbruch zum Wohle des deutschen Volkes geschworen und gegen die Interessen der deutschen Bürger der deutschen Steuerzahler gegen die Interessen der deutschen gehandelt deshalb nur noch AFD 💙 die einzigsten echten wählbaren Demokraten mit Augenmaß realitätsnähe und Verstand 💙👍
UCoXtKeT4dYl04_0HS2rKnkw,@c7z06corvette4,2023-10-30T19:02:53Z,Einer der aller besten seit Jahren 💯👍👍👍💙💙💙
