commenterID,UserName,Date,Text
UCzsthLcm0x9BC5_WBcjtBZQ,@Geekonomy,2024-02-07T16:07:33Z,Tranquilos. Finanzas para todos no me ha secuestrado el canal
UCfIQOlmwhNy0ILTuc4n7fJw,@user-of9ts2hc9r,2024-02-12T23:58:09Z,Y ahí vienen de nuevo con su cuento chino jajajajaaja la economía de usa creció el 3.3 por ciento y si sabes que chin no creció es más bajo un 6.7
UCRlPgsedhuO0kwyZdPrFSNg,@rikyzrikyz4797,2024-02-12T23:29:51Z,COALICIÓN PRI-PRD-PAN ❤️💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪
UC8yE11eU5bd3lrQNqWPBwvA,@azulhernandez1053,2024-02-12T23:07:16Z,Puras mentiras
UCoadX1cNjuzkiBEspryZ-cA,@eroildo.3374,2024-02-12T20:33:39Z,Hay una. Crise mundial  esto es en todo. En mundo. 🔥 los. Reinos no son eternos. Poca a poco. Van callendo. Es. La. Realidad todos. Estos. Conflictos  estan. Escritu miles de.  Años  a. Tras esta. Nación  se levanto de la. Ceniza con valores en. Dios sacaron la. Oración  de las. Escuelas. Pero en esas mismas  Escuelas  le enseñan  a los chicos que un matrimonio  entre. Dos hombres eso no es nada. Malo eso es una.  ABOMINACIÓN  delante. de.  Dios toda. Nacios que se. Olvida de. Dios. Al fin pagará  las. Cocecuencias. Dios. No tolera el pecado está. NACIÓN  fue nomero una. Mintras le era. Fiel a. Dios los. Primero n prisidentes. eran hombres. Cristianos. Hombres temerosos de.  Dios. Quitaron la. Oración  de las Escuelas. Presidente  que son. Impíos  VIOLADORES  de mujres como. Trump un anciano  que. Permite el. Matrimonio  entre hombres o dos mujers Dios es.  Santo. Estos. hombres no. Horan a. Dios. La. NACIÓN  que no depende de.  Dios. Sera. Quitada de toda. La. Fas de. La. Tierra  por eso. Esta. Nación  🇱🇷 cada. Día  ira. De. Peor. En peor. Por se olvidaron de.  Dios 😮
UCOQGhzJsPJQ0oIAoszMUm2A,@cesarbautista8633,2024-02-12T17:44:29Z,"Mientras ustedes hablan disparates anunciando crisis, aqui en Estados Unidos estados como New York, Texas y Las Vegas ofrecen empleos a personas sin experiencia con sueldos entre 15 dolares la hora, 18 y 34 dolares, cosa que no ocurre en ningún país de Europa o China?. Hace poco estuve en España y me quedé con la boca abierta al constatar de forma directa cuanto es el sueldo de una persona normal y resulta que los gana en 30 dias es el equivalente o menos de los que puedes ganar en una semana aqui....!"
UC8SzSd9CFtGxHEbmOx_3NXA,@damecioyonh5554,2024-02-12T15:33:20Z,😂😂PUEDE VOLVER😂😂<br>DESDE LOS 90s NO PARAN DE IMPRIMIR😂😂😂😂😂 ESO SOLO VA HACIA ABAJO😂😂😂JAMAS SE A LEVANTADO😂
UCthaxr0M9AYKUpdz5y0nKOA,@gustavorabino9353,2024-02-12T13:27:01Z,"Es muy simple, el estado empezo a financiarse con los ahorros de las personas generando inflacion a través de la expansión monetaria mientras que arregló con los bancos asegurarles ganancias pagando intereses de bonos y letras del tesoro. Ahora que se quiere reducir la inflación pero al mismo tiempo la actividad productiva no crece debido a las pesimas politicas socialistas de gobierno que malgasta el dinero, regula  y no defiende la propiedad privada haciendo cada vez se produzca menos y por tanto cada vez seamos más pobres y se vulenere nuestra porpiedad, nuestros ahorros con inflación y se destruyen puestos de trabajo por falta de inversión, en una espiral decendente donde cada vez e tiene que gastar mas para sostener la seguridad social y por tanto se suben impuestos o se genera más inflación, se produce menos y por tanto más pobreza y menos empleo y se necesita gastar más. Lo que es peor asegurar &quot;pagas&quot; mientras que las empresas reducen salarios por la carga impositiva desincentiva el trabajo e incentiva el no trabajar, acrecentando el problema. De la mano de esto llega al inseguridad que desvaloriza cualquier tipo de propiedad que tengas incluidas casas y bienes inmuebles que pueden ser ocupadas, por tanto la gente deja de pagar su hipoteca cuando ve que el valor de loq ue esta pagando es mayor del valor actual, los bancos entonces no recuperan el dinero que prestaron y asi. Todo esto debido al socialismo."
UCdVhKoNhY3PWZnlXchKbAFg,@gustavovazquez5535,2024-02-12T05:50:06Z,👍🏼
UCFEp31S7j-nI2xgISaJ6oug,@CarlosHernandez-np3gt,2024-02-12T03:06:48Z,"Aguas de marzo, abríl, mayo......."
UCFBEyXAkRfWe_vWTfKOQ9xg,@frankjimenez8418,2024-02-11T23:34:28Z,"Todo esto será gracias al peor presidente de todos los tiempos en Estados Unidos Joe Biden y el partido socialista Demócrata,  nuestra esperanza está puesta en el mejor presidente Donald Trump,  Dios lo bendiga"
UC5kxUs5YHqK5BSPiD9LuIoA,@alberto2061,2024-02-11T21:07:46Z,ESO.PASA POR MALOS PRESIDENTES.POR SON UNA CHUNGA EN POCAS PALABRAS.CUANTOS PAISES FUERON ECONOMIAS POTENCIA Y HOY POR EL SUELO.ESO PASA CUANDO UNA PERSONA TODO SELE ASE FACIL DESIR.MEJORARE EL MUNDO.Y ES CUANDO EL PUEBLO NO LES HINPORTA YENANDOSE ELLOS EL BOLSILLO LODE MAS AGANSE BOLAS USTEDES.NOBEN COMO 7 SEXENIOS EN MEXICO.Y TODOS ULLEN SEVAN FUERA DE EL PAIS SON UNOS LADRONES.POR ESO LA POBLASION PAGA EL PRESIO.PERO OTROS PAGARAN EN EL 🔥🔥🔥🔥🔥🔥 DON HAY LOS MILLONES SIRVEN PARA LEVANTAR QUE NOSE APAGUE EL 🔥🔥🔥
UCR5DyTEA6TVCp5MmeV3MEAg,@antoniocruzroldan6021,2024-02-11T18:12:27Z,Cualquiera se fía de éste individuo. Vaya tela.
UCDPiCbAExoH214Fn5KWPu8w,@zippywhisper,2024-02-11T17:34:33Z,"<a href=""https://www.youtube.com/watch?v=mYYPELvjbF0&amp;t=2"">0:02</a>: ⚠️ Impacto de la inflación en las políticas bancarias de Occidente y la crisis bancaria en EEUU en 2021.<br><a href=""https://www.youtube.com/watch?v=mYYPELvjbF0&amp;t=172"">2:52</a>: 💰 Aumento de tipos de interés por bancos centrales ante persistente inflación y tensiones geopolíticas.<br><a href=""https://www.youtube.com/watch?v=mYYPELvjbF0&amp;t=331"">5:31</a>: ⚠️ Impacto de las políticas bancarias en la liquidez y tipos de interés.<br><a href=""https://www.youtube.com/watch?v=mYYPELvjbF0&amp;t=473"">7:53</a>: 💰 Operaciones financieras impactan mercado y generan crisis bancaria en 2019.<br><a href=""https://www.youtube.com/watch?v=mYYPELvjbF0&amp;t=628"">10:28</a>: ⚠️ Preocupaciones sobre el sistema bancario regional y su impacto en la política económica de EE. UU.<br><br>Resumen por Tammy AI"
UCSUUYEiYIQxO0IVXacuiozA,@diegormj1,2024-02-11T17:11:13Z,Dios te oiga 🙏🏻😇
UCA4jOagnh-3XhGa_1iJr2-w,@davidmaterialvariado6448,2024-02-11T16:12:29Z,"Geekonomy dice:¿Por qué en MARZO de 2024 puede VOLVER la CRISIS BANCARIA en EEUU?<br>Yo digo: Bueno, mientras no sea en España no nos afecta, yo no tengo crisis entre otras cosas por que vivo con MIS PADRES, tengo un trabajo ESTABLE con contrato INDEFINIDO, tengo ahorros, no tengo mujer ni hijos que mantener, así que todo perfecto<br><br><br>😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😁😁😁😁😁😁😁😁😁😁😁😁😁😁😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄"
UCMxNs4OMefcJC8pnL52xACw,@tecnicosytecnicasglobal6188,2024-02-11T14:55:07Z,Excelente explicación. Felicitaciones.
UCvmxbJCgOdsvMf4StCmrIlw,@juantarquinoprisco1,2024-02-11T14:37:33Z,Desde hace tres años andan diciendo lo mismo.
UCyayB2XpCbRpAMVTvhmGJig,@eduardoolguin3167,2024-02-11T14:07:53Z,"LA CRISES VIENE ,PERO LA GENTE SIGUE GASTANDO Y NO AHORRAN UN DOLAR,ES MOMENTO DE AHORRAR."
UCiSm3FONedjkRA3SijCjYdg,@garbolipo,2024-02-11T10:20:31Z,"Existen acciones sencillas para poder salir de una crisis. Pero depende lastimosamente de que todas las personas implicadas produzcan productos que puedan ser intercambiados. Por ejemplo, el contador debería entregar sus balances o reportes a tiempo. O el marquetero entregar la lista de interesados que salieron en esa semana lo más pronto posible al vendedor para que este pueda vender prontamente el servicio de la empresa, que a su vez, ese producto o servicio, debe ser aceptado por el mercado como bueno"
UCpMdMfTDsZ-8_Mm-x3uf9Fg,@a0z9,2024-02-11T09:03:33Z,La inflacción apareció por culpa del dinero prestado sin interés ninguno. Si te despreocupas te inflaccionas
